Repository,URL,Owner,Owner Type,Default Branch,Stars,Forks,Subscribers,Open Issues (total),Commits (total),PRs (total),Issues (total),Contributors (total),Created At,Pushed At,Updated At,Last Release Date,Primary Language,License,Topics,Size (KB),Homepage,Has Wiki,Has Pages,Has Build System,Has CI,Contains Parallel/Concurrency Code,Concurrency Signal,Project Type
pagopa/pagopa-afm-marketplace-be,https://github.com/pagopa/pagopa-afm-marketplace-be,pagopa,Organization,,0,0,0,0,452,141,0,18,,,,2025-10-03T08:24:49Z,,,pagopa-afm,0,,No,No,Yes,Yes,Yes,parallelStream(,Industrial OSS
AnandakrishnanV/WordCounter,https://github.com/AnandakrishnanV/WordCounter,AnandakrishnanV,User,,0,0,0,0,30,0,0,1,,,,,,mit,,0,,No,No,Yes,No,Yes,parallelStream(,Research
NicholasBlackburn1/Robo_Hacker,https://github.com/NicholasBlackburn1/Robo_Hacker,NicholasBlackburn1,User,,0,0,0,0,91,1,0,1,,,,,,,,0,,No,No,Yes,No,Yes,parallelStream(,Research
h1tm4nqq/ForeverClient-leak,https://github.com/h1tm4nqq/ForeverClient-leak,h1tm4nqq,User,,0,0,0,0,10,0,7,2,,,,2024-02-29T15:30:55Z,,,,0,,No,No,Yes,No,Yes,parallelStream(,Open-source (general)
kevansimpson/advent-of-code,https://github.com/kevansimpson/advent-of-code,kevansimpson,User,,0,0,0,0,209,11,0,2,,,,,,,,0,,No,No,Yes,No,Yes,parallelStream(,Open-source (general)
Gamify-IT/bugfinder-backend,https://github.com/Gamify-IT/bugfinder-backend,Gamify-IT,Organization,,0,0,0,0,84,19,0,10,,,,2025-05-21T16:23:25Z,,other,,0,,No,No,Yes,Yes,Yes,parallelStream(,Research
lahatra3/wisedata,https://github.com/lahatra3/wisedata,lahatra3,User,,0,0,0,0,25,7,0,2,,,,,,,,0,,No,No,Yes,No,Yes,parallelStream(,Open-source (general)
Football-Supporters-Group/amtrak-data,https://github.com/Football-Supporters-Group/amtrak-data,Football-Supporters-Group,Organization,,0,0,0,0,338,20,12,3,,,,,,gpl-3.0,,0,,No,No,Yes,Yes,Yes,parallelStream(,Industrial OSS
NAVEENWODEYAR/Nandi,https://github.com/NAVEENWODEYAR/Nandi,NAVEENWODEYAR,User,,0,0,0,0,47,0,0,1,,,,,,,,0,,No,No,Yes,No,Yes,parallelStream(,Open-source (general)
noobstersmc/UHC-1.16,https://github.com/noobstersmc/UHC-1.16,noobstersmc,Organization,,0,0,0,0,396,6,3,4,,,,,,mit,,0,,No,No,Yes,Yes,Yes,parallelStream(,Research
frischHWC/datagen,https://github.com/frischHWC/datagen,frischHWC,User,,0,0,0,0,171,2,0,3,,,,2024-12-17T14:08:35Z,,apache-2.0,adls;avro;cdp;cloudera;csv;data;gcs;hbase;hdfs;hive;json;kafka;kudu;orc;parquet;s3;solr,0,,No,No,Yes,No,Yes,parallelStream(,Research
